File,Status,Comments
/Users/patrick/Projects/Teralynk_Old/backend/.env,⚠️ Issue Found,Error reviewing file: Incorrect API key provided: YOUR_OPE*******_KEY. You can find your API key at https://platform.openai.com/account/api-keys.
/Users/patrick/Projects/Teralynk_Old/backend/awsSecretsService.js,⚠️ Issue Found,Error reviewing file: Incorrect API key provided: YOUR_OPE*******_KEY. You can find your API key at https://platform.openai.com/account/api-keys.
/Users/patrick/Projects/Teralynk_Old/backend/convert-require-to-import.js,⚠️ Issue Found,Error reviewing file: Incorrect API key provided: YOUR_OPE*******_KEY. You can find your API key at https://platform.openai.com/account/api-keys.
/Users/patrick/Projects/Teralynk_Old/backend/db_verify.js,⚠️ Issue Found,Error reviewing file: Incorrect API key provided: YOUR_OPE*******_KEY. You can find your API key at https://platform.openai.com/account/api-keys.
/Users/patrick/Projects/Teralynk_Old/backend/debug.js,⚠️ Issue Found,Error reviewing file: Incorrect API key provided: YOUR_OPE*******_KEY. You can find your API key at https://platform.openai.com/account/api-keys.
/Users/patrick/Projects/Teralynk_Old/backend/findEnvVars.js,⚠️ Issue Found,Error reviewing file: Incorrect API key provided: YOUR_OPE*******_KEY. You can find your API key at https://platform.openai.com/account/api-keys.
/Users/patrick/Projects/Teralynk_Old/backend/fixImports.js,⚠️ Issue Found,Error reviewing file: Incorrect API key provided: YOUR_OPE*******_KEY. You can find your API key at https://platform.openai.com/account/api-keys.
/Users/patrick/Projects/Teralynk_Old/backend/nodemon.json,⚠️ Issue Found,Error reviewing file: Incorrect API key provided: YOUR_OPE*******_KEY. You can find your API key at https://platform.openai.com/account/api-keys.
/Users/patrick/Projects/Teralynk_Old/backend/package.json,⚠️ Issue Found,Error reviewing file: Incorrect API key provided: YOUR_OPE*******_KEY. You can find your API key at https://platform.openai.com/account/api-keys.
/Users/patrick/Projects/Teralynk_Old/backend/script.js,⚠️ Issue Found,Error reviewing file: Incorrect API key provided: YOUR_OPE*******_KEY. You can find your API key at https://platform.openai.com/account/api-keys.
/Users/patrick/Projects/Teralynk_Old/backend/selfDebugger.js,⚠️ Issue Found,Error reviewing file: Incorrect API key provided: YOUR_OPE*******_KEY. You can find your API key at https://platform.openai.com/account/api-keys.
/Users/patrick/Projects/Teralynk_Old/backend/server.js,⚠️ Issue Found,Error reviewing file: Incorrect API key provided: YOUR_OPE*******_KEY. You can find your API key at https://platform.openai.com/account/api-keys.
/Users/patrick/Projects/Teralynk_Old/backend/storageProviders.json,⚠️ Issue Found,Error reviewing file: Incorrect API key provided: YOUR_OPE*******_KEY. You can find your API key at https://platform.openai.com/account/api-keys.
/Users/patrick/Projects/Teralynk_Old/backend/swagger.json,⚠️ Issue Found,Error reviewing file: Incorrect API key provided: YOUR_OPE*******_KEY. You can find your API key at https://platform.openai.com/account/api-keys.
/Users/patrick/Projects/Teralynk_Old/backend/testDb.js,⚠️ Issue Found,Error reviewing file: Incorrect API key provided: YOUR_OPE*******_KEY. You can find your API key at https://platform.openai.com/account/api-keys.
/Users/patrick/Projects/Teralynk_Old/backend/collaboration/analyticsController.js,⚠️ Issue Found,Error reviewing file: Incorrect API key provided: YOUR_OPE*******_KEY. You can find your API key at https://platform.openai.com/account/api-keys.
/Users/patrick/Projects/Teralynk_Old/backend/collaboration/auditLogService.js,⚠️ Issue Found,Error reviewing file: Incorrect API key provided: YOUR_OPE*******_KEY. You can find your API key at https://platform.openai.com/account/api-keys.
